"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Romania","ROU","Women","1991","Crude","0.0362686831638402","0.0183954784235183","0.0606760991460339","0.354215394154871","0.183028363397605","0.557988817144894"
"Romania","ROU","Women","1992","Crude","0.0358565053389888","0.0190530768851189","0.0584661684405503","0.360369963046367","0.191434944887911","0.559130784577909"
"Romania","ROU","Women","1993","Crude","0.0356242049046788","0.0198311372486691","0.0564552054666266","0.366765296529433","0.200268030457363","0.560527610048712"
"Romania","ROU","Women","1994","Crude","0.0355742386971196","0.0204973290890252","0.0552506138321361","0.372925976982502","0.209403313002327","0.560869763333587"
"Romania","ROU","Women","1995","Crude","0.0357117386227878","0.0211537886237256","0.0544338849685947","0.378905712530088","0.217961236378502","0.562666253597988"
"Romania","ROU","Women","1996","Crude","0.0360187187706775","0.0218925049557139","0.0542598738359931","0.385151248794989","0.226696309331798","0.564626300211938"
"Romania","ROU","Women","1997","Crude","0.0365550100260164","0.0226095671364559","0.0546084391573035","0.391504939370696","0.234991736983766","0.565950513475615"
"Romania","ROU","Women","1998","Crude","0.0373488319724621","0.0232213773407864","0.0552290510698106","0.397770029716668","0.243663276491435","0.567848077285272"
"Romania","ROU","Women","1999","Crude","0.0384059465931057","0.0239250743178978","0.0566370004535004","0.403793008622641","0.252325492216275","0.568248853398383"
"Romania","ROU","Women","2000","Crude","0.0397622184610193","0.0247066291416912","0.0587799861648728","0.409611502802327","0.258985078529309","0.570639287554095"
"Romania","ROU","Women","2001","Crude","0.0414430159710075","0.0259661534779518","0.0607902774661559","0.415385189823033","0.268849805653444","0.573178924718008"
"Romania","ROU","Women","2002","Crude","0.0434469087522784","0.0272269658889003","0.0634946249729554","0.421228281294516","0.276288572967117","0.57466936732937"
"Romania","ROU","Women","2003","Crude","0.0457699771783562","0.029068308851471","0.0663479615657716","0.427231354020479","0.287150767867819","0.57436868284322"
"Romania","ROU","Women","2004","Crude","0.0484061084388835","0.031141265750712","0.069598468422389","0.433303957542196","0.298965162165537","0.574520664526707"
"Romania","ROU","Women","2005","Crude","0.0513725036192864","0.0336237816470227","0.0728473002977439","0.439102170688663","0.308371598581022","0.574195981996535"
