"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
"1980","Men","India","IND","0.5253208424650628","0.4745077659429861","0.5717858075996582","0.0021070468707053767","0.0013162170036417017","0.0032155156282939624","0.21061191219851047","0.17966800208300487","0.24500034107322297","0.23619316164328066","0.20155061914287672","0.2740090509960632","0.025767034822440676","0.01902682489241943","0.03423147902255036","0.0017266373387949648","9.93813327697544e-4","0.0027746179408317364","1.8874238962625687e-4","5.475491663052729e-5","4.334743909383951e-4","1.9166714228415502e-4","5.789296906017847e-5","4.613128627622302e-4"
"1981","Men","India","IND","0.5132685864291827","0.4655805531396332","0.5577916494430932","0.002282280320994538","0.001475035761483555","0.003355860495335575","0.2111111189971231","0.18185562230341734","0.24282273451485475","0.24576679015785427","0.21331687893469778","0.28182153831884754","0.027571222094845336","0.020821305421633945","0.03577139681493968","0.0018786268368624613","0.0011299830800703386","0.002914575219059837","2.0758078797900503e-4","6.687993027232096e-5","4.508268474845836e-4","1.96072696153072e-4","6.539502658540694e-5","4.390388328728585e-4"
"1982","Men","India","IND","0.5011391177586739","0.45650769013529113","0.5434391819766714","0.0024739397918838828","0.0016437487938843007","0.003579279804782081","0.2115290292475914","0.18423254456097035","0.2413186865869335","0.25537921922809254","0.22445772505072586","0.2888599565685324","0.029478691973758228","0.022800096933919805","0.037429396286127146","0.002043930439369659","0.0012681898391160933","0.003078878072758661","2.2870427772042458e-4","8.125495267785657e-5","4.7162311804276844e-4","2.0130507479379934e-4","7.37770694454317e-5","4.3318595045726665e-4"
"1983","Men","India","IND","0.48904227875043493","0.4466298390500249","0.52818947015504","0.002683113031258525","0.001828754351037929","0.0037865466611320133","0.2118712931292796","0.18555530891463384","0.2396968568775663","0.26492198838493397","0.23542087843514684","0.29652172963834517","0.031481324704092935","0.024847208087240127","0.039337506944196785","0.002223464519132388","0.0014221302979002435","0.0032646480734874477","2.523368968352418e-4","9.77548599834602e-5","4.936407422326064e-4","2.073116152908948e-4","8.213799249955374e-5","4.2403990260102135e-4"
"1984","Men","India","IND","0.47708735772222843","0.4375022151461783","0.5145607384603601","0.0029100351806175566","0.0020305651181703422","0.004024557801160685","0.21215076071337727","0.1872501111252916","0.23859823966648855","0.2742830347936355","0.2458757084248079","0.3045941420697304","0.03356880959014122","0.026885130985526983","0.04146124908017593","0.0024173835932815475","0.0015984108739517263","0.0034952196352792133","2.786657486780135e-4","1.1590972448607598e-4","5.206379982418067e-4","2.1398583865799633e-4","9.135976504685444e-5","4.2003291661317705e-4"
"1985","Men","India","IND","0.4653690052774393","0.4272357969816939","0.5007461301560936","0.0031554076132890257","0.0022455919336227333","0.004298436962040873","0.21237807687146976","0.1888261639788422","0.23724453614247193","0.2833527627064376","0.2558435353429456","0.3123724010693637","0.035744745531364364","0.029034476705669436","0.043466123858903395","0.0026263282431735744","0.0017800851102450915","0.003713196396171464","3.07737517476586e-4","1.369842000149135e-4","5.526998426253252e-4","2.2134185263886558e-4","1.0012395305697904e-4","4.1751317585814185e-4"
"1986","Men","India","IND","0.4539574872974514","0.41696095700669894","0.4878547067849937","0.0034202731962440034","0.002478146445670569","0.004606432449954788","0.2125607712699285","0.18980311384898266","0.2363404616937882","0.2920624837665574","0.26562723292735635","0.3199817453551127","0.03799898246981876","0.031143478910659373","0.045656558724109036","0.0028512742282905262","0.001975905816569597","0.003960859042987224","3.3964351883777086e-4","1.6265249127916896e-4","5.894907268027181e-4","2.2935544911570655e-4","1.0886329061070282e-4","4.2188882537654655e-4"
"1987","Men","India","IND","0.442926466691489","0.40782774444400244","0.4757169574771287","0.003707251676737377","0.0027399271578155025","0.004928661400813221","0.21272056419759228","0.1906177197112152","0.2351705680349609","0.3003246968018657","0.27452433389514913","0.32708680061656537","0.040321018632315644","0.033288062869503275","0.0479423158125645","0.0030942080679009993","0.002168774765956636","0.004234092287230994","3.747303122970832e-4","1.8979712876222168e-4","6.293116564055132e-4","2.383132965392945e-4","1.174899680475116e-4","0.00043179119716698847"
"1988","Men","India","IND","0.4323157148714391","0.39904774294483714","0.46359572688478984","0.004018901638187394","0.002998468508169733","0.005227125821394795","0.21285996868527218","0.19159679493478182","0.2344526589714861","0.3080813649984124","0.2831638664449457","0.33392555680061137","0.04272404780668897","0.035671876420396244","0.05033258186806177","0.0033572968506985555","0.002405109829359571","0.004517935530441562","4.132742213880882e-4","2.2143610630110763e-4","6.737982164159777e-4","2.4833056610074967e-4","1.2627320301701158e-4","4.414561264028304e-4"
"1989","Men","India","IND","0.4221603962411635","0.3904233197754763","0.4519359744668445","0.004358504544725653","0.003295020061672993","0.005579834153698857","0.21297305330167743","0.19298940344345458","0.23411081920790477","0.31530655873767616","0.29139266142847997","0.3401778038817311","0.04520148517475719","0.03818593660404758","0.05284101521436435","0.0036432470765395634","0.002647213459170762","0.00481777470479004","4.5557078021481943e-4","2.5661108844882895e-4","7.260244042864008e-4","2.5968668797126965e-4","1.3645348527349568e-4","4.519656468232449e-4"
"1990","Men","India","IND","0.4124716422316709","0.38244824439609587","0.441151622884467","0.004728498897479174","0.003634185438501931","0.00599553423087495","0.21302545304355194","0.19373288143341466","0.2328597066948051","0.32201507224657155","0.2988922289587004","0.3461125395611047","0.04775933158072638","0.04068996086310082","0.05532768122135995","0.003954126482276003","0.0029210077120492613","0.005166590894543282","5.018458373272594e-4","2.9504157833367523e-4","7.812845650777452e-4","2.7252657787591155e-4","1.4755808070191672e-4","4.6431700562569095e-4"
"1991","Men","India","IND","0.4031570488851539","0.3745189439817375","0.43087187740949223","0.005131164459891139","0.004008687881322872","0.0064272474239327115","0.21300881945419362","0.19485011551641734","0.231907534264575","0.3282898974762692","0.30579657110235414","0.35139614793838225","0.05041306772449216","0.04322351428808934","0.05811268579239552","0.004291916367600993","0.0032216339037762763","0.005536692914715388","5.523899190462235e-4","3.396322118573477e-4","8.390751896620995e-4","2.868581732439224e-4","1.596708492985044e-4","4.768915876360998e-4"
"1992","Men","India","IND","0.39422805139035105","0.3669757619133966","0.42108745652537094","0.005570200219173066","0.004416071785967308","0.006921775497694647","0.21291483036136408","0.19544388175194097","0.23124104017343775","0.334130069713434","0.31275633660262975","0.35634570529036","0.05315684631567778","0.04586760396966845","0.06084381472411253","0.004660034869177963","0.003560572778713117","0.005959365686510768","6.073594948609258e-4","3.8646580635836605e-4","9.018338321653694e-4","3.0280585513417756e-4","1.7131325663206443e-4","4.944067787944328e-4"
"1993","Men","India","IND","0.38569972924136886","0.3599052168295263","0.4110900391599949","0.006049690980517936","0.004851456947752823","0.007460159370634414","0.21271872422086904","0.19563898534373123","0.23033596045228372","0.3395288748565389","0.3188018857744952","0.3611598601226646","0.05600297870070532","0.04869603799240723","0.06367590260799118","0.005061975823365882","0.003900001703322698","0.006396758418847906","6.673110980370584e-4","4.33869524132701e-4","9.689764757165062e-4","3.204040591149949e-4","1.865506316893152e-4","5.123146615682835e-4"
"1994","Men","India","IND","0.3775669835811971","0.352752481206875","0.4024032789814538","0.006576114066411799","0.005355524854198301","0.008022884795031375","0.21239924952669778","0.19575787514786358","0.22938805984765553","0.34449057879925493","0.3243060421052401","0.36537997549934936","0.05896707202643838","0.051552593294287644","0.0666823420689062","0.005503197068045883","0.004299593902771733","0.006886160683796683","7.330805546372596e-4","4.902166248018303e-4","0.001048769949839423","3.39836443728656e-4","2.0281638354648616e-4","5.295838620306176e-4"
"1995","Men","India","IND","0.3696550052164842","0.3457863101368885","0.39399510599311294","0.007161846195478657","0.00588903964637507","0.008672326649723866","0.21187697984174253","0.19589485890161662","0.22849487807812252","0.3491992590437045","0.3293572993848696","0.36935515407127084","0.06210690770259008","0.054664479498017","0.06996751898631143","0.005993531343415815","0.004752837963789143","0.0074546420717996765","8.068661539718746e-4","5.55903583225574e-4","0.0011284218168149157","3.614486980909681e-4","2.1679708647612055e-4","5.54156776398051e-4"
"1996","Men","India","IND","0.36176408799986254","0.3387606314710388","0.38477916334705","0.007815981556508403","0.006480542122748969","0.009379473213169398","0.2110808840627681","0.19557174430156107","0.22715098058756322","0.3538803981669546","0.3346643479442983","0.3728149457140742","0.06545864621390633","0.057985514068599364","0.0733351729846377","0.006540228420709065","0.005258457310159175","0.008026394115836324","8.898683943902164e-4","6.218004359794362e-4","0.0012213578683742592","3.858847414091226e-4","2.3719738346440614e-4","5.835128142076366e-4"
"1997","Men","India","IND","0.35367692741373097","0.3315548346849612","0.37622084189837224","0.008552254479984919","0.0071450995148329265","0.010179065356234786","0.20995633321913704","0.19492955752315833","0.2255911246573032","0.3587480967872693","0.3400383538405601","0.3770963143888955","0.06906638609987772","0.061626146703725036","0.07699217048575677","0.007155050929687939","0.005800690496239742","0.0087015576666829","9.83997446750337e-4","6.985877758185873e-4","0.001336216307953881","4.132061035466426e-4","2.5777026483392675e-4","6.135484211703591e-4"
"1998","Men","India","IND","0.34530304161865266","0.32354897794007653","0.3671558219642592","0.009378174558841655","0.00790186291525914","0.011067719684006438","0.2084424094748876","0.1942197053577312","0.223307366879772","0.3639282919856614","0.34582805991622784","0.38169649738195877","0.0729480803619567","0.06532355276979876","0.08100862068567126","0.007843390625029728","0.0064267816157963205","0.009450256816354132","0.0010908563218514535","7.897552118275751e-4","0.0014653969981419169","4.439276119604735e-4","2.8141862670158827e-4","6.507886272791942e-4"
"1999","Men","India","IND","0.3366922674158854","0.3154881077763045","0.3578805510914058","0.010298555938741126","0.008745617817493674","0.012061390324857157","0.20657801072044624","0.1927935966828499","0.22108661506240693","0.36934455883412937","0.3513373380728551","0.3866509687316547","0.07708660509079784","0.06931808114362369","0.08514891907182962","0.008608652904355215","0.007123366854822902","0.010309941640356696","0.0012112152840137841","8.930868116684052e-4","0.001607026285835356","4.7868775037212597e-4","3.089331855840273e-4","6.973767676708985e-4"
"2000","Men","India","IND","0.3279335302203873","0.30753236632352665","0.34880175581245465","0.01131182235031858","0.009710394320798026","0.013176072410199363","0.2043738161378595","0.19102543590671403","0.21840149925560873","0.37490134493827365","0.3576495873294274","0.3917521202720308","0.08147948435316105","0.07365331230756288","0.08944979002457189","0.009450703967411116","0.007918350684991337","0.011243295519099507","0.001343842999713636","0.0010054148468810814","0.0017450916289952086","5.172753831938288e-4","3.4166136782479503e-4","7.444089391609401e-4"
"2001","Men","India","IND","0.3191085864064321","0.29935337832005005","0.339579658372125","0.01241232928523641","0.010735551433747392","0.014357129083821508","0.20186954918257866","0.1890090427571064","0.21542275718776216","0.3805216403908057","0.3637271721346886","0.39714779470673534","0.08608789273494719","0.07817397340484142","0.09418882754504826","0.010364438284485149","0.008749589792681934","0.012263252682518147","0.0014881334991285996","0.0011326240410475736","0.00191301010111248","5.597575016226611e-4","3.7642142771810843e-4","7.952639891043847e-4"
"2002","Men","India","IND","0.3101656159853737","0.29105753997888945","0.3299073695492005","0.013605506437103723","0.011818890180759503","0.015603949250168876","0.19904759481631923","0.186625371065075","0.21213245586793394","0.3862543008478941","0.3697129143414436","0.4025057633456469","0.0909269799133093","0.08287087155079836","0.09935032996211471","0.011356282031353465","0.009650343074627598","0.01329263442138896","0.0016424804935703879","0.0012705763045664528","0.002083717632433242","6.067439121798697e-4","4.147172479931324e-4","8.523877798189864e-4"
"2003","Men","India","IND","0.301121849523165","0.28235642125137755","0.32037457821537857","0.014885539752669555","0.012982377163262449","0.016999007487296335","0.1959375804626598","0.1839410931354513","0.20851669984256552","0.3920606027167978","0.375641098118234","0.40779502517258837","0.09599442554470784","0.08779912773354959","0.10449941799731705","0.012420041753899116","0.010643584425031518","0.014447715195499951","0.0018070349758225724","0.0014162462672290832","0.002267681800528145","6.584630229478676e-4","4.5527740665430064e-4","9.207648879705499e-4"
"2004","Men","India","IND","0.2920182511450808","0.27381433926132237","0.3107723740644659","0.016245128094099382","0.01426642741918029","0.018486942822152696","0.1925713048575934","0.18070517445918044","0.20461105385674958","0.3978885809081463","0.3818330041166674","0.41339286458720464","0.10127673299508007","0.09303306440999895","0.10988494021962085","0.013548262205207516","0.011660413654975414","0.01566134522517664","0.001982320783967756","0.0015710456265830973","0.0024653215233828144","7.145451049241126e-4","5.020881789137891e-4","9.926628089052517e-4"
"2005","Men","India","IND","0.2829286959262058","0.2652058659339824","0.3014087421659887","0.017673744033913245","0.015595333222064932","0.01994813269065418","0.189021284516771","0.17761775533399007","0.20063467021294945","0.40366450058476355","0.3879246684221708","0.4187172660952282","0.10671177293834648","0.09831116339922405","0.11530227935603056","0.014730204347874455","0.012761329435499963","0.016940954693616936","0.0021677936198436507","0.0017303627476142802","0.002684311415878562","7.757460661951385e-4","5.524932626992799e-4","0.0010619052516988548"
"2006","Men","India","IND","0.2736861450804012","0.25662198066069125","0.2916578257872251","0.019173255455792272","0.01697045027284925","0.02153517078085656","0.18525474130443403","0.17422638171139315","0.19646109256333147","0.40955244507328964","0.39458581414668165","0.4241910941863848","0.11233341108608288","0.10389622575960361","0.12103377281309587","0.015966784187592946","0.01389907887121521","0.018232957638468175","0.0023635925244452484","0.001899284901997701","0.002897472189495146","8.428787437540793e-4","6.074556097193392e-4","0.0011356761940735757"
"2007","Men","India","IND","0.26418942783000976","0.24746977320758382","0.2815115434362264","0.020746970396020227","0.018432433450242227","0.02323174853737895","0.18122629239154062","0.17053695466164398","0.192109885031145","0.41567804883967097","0.4010624549512231","0.42975751935634904","0.11815925854275842","0.10972583297856421","0.1267182628255532","0.017260231486698564","0.015084390555534928","0.019639171142776597","0.0025698115810059547","0.0020863904209351314","0.0031294794529194646","9.169273283157046e-4","6.702119003380367e-4","0.0012181365369288506"
