"Country","ISO","Sex","Year","Age","Prevalence of hypertension","Prevalence of hypertension lower 95% uncertainty interval","Prevalence of hypertension upper 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension","Proportion of diagnosed hypertension among all hypertension lower 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension upper 95% uncertainty interval","Proportion of treated hypertension among all hypertension","Proportion of treated hypertension among all hypertension lower 95% uncertainty interval","Proportion of treated hypertension among all hypertension upper 95% uncertainty interval","Proportion of controlled hypertension among all hypertension","Proportion of controlled hypertension among all hypertension lower 95% uncertainty interval","Proportion of controlled hypertension among all hypertension upper 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension","Proportion of untreated stage 2 hypertension among all hypertension lower 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension upper 95% uncertainty interval"
"United States of America","USA","Men","1997","75-79","0.678221878652572","0.638508076689229","0.716903930645668","0.769911240528351","0.715054673652034","0.819637656102106","0.731766420350399","0.682413261344601","0.777666396882892","0.322937562276918","0.262697635633438","0.385183479241268","0.0837966349106332","0.0647448498247037","0.10529782890084"
"United States of America","USA","Men","1998","75-79","0.677115719580467","0.638389829396636","0.715429845918249","0.778464129454257","0.724169520347789","0.826254520860215","0.744646631813073","0.698176007731157","0.789157363445796","0.344158946467139","0.28306264674678","0.405471316387916","0.0770725284973003","0.0596187060304893","0.097184169419581"
"United States of America","USA","Men","1999","75-79","0.676158762246486","0.63797845597908","0.713828948058911","0.786741274503003","0.734188643582977","0.833438635567668","0.756796051347025","0.711535597985232","0.798839676565482","0.365553874170324","0.303739788348067","0.426652150499134","0.0710177112791136","0.0547776303883008","0.0899484654768289"
"United States of America","USA","Men","2000","75-79","0.67532143110064","0.637072668506193","0.71252416580956","0.795007488154501","0.743903461822486","0.839395976527527","0.768533835550924","0.723991146679232","0.809469923745443","0.387620808211914","0.3256548554916","0.447929471527611","0.0654636226523183","0.0501332967643688","0.0829896240085255"
"United States of America","USA","Men","2001","75-79","0.67480417666804","0.636857577835833","0.711937135813982","0.803331482436","0.754196598466294","0.846056517407403","0.780086766168678","0.737630595115019","0.819856645836165","0.410074920366916","0.347902412924756","0.471507450223183","0.0603395490061914","0.0460382912018205","0.0766966400964876"
"United States of America","USA","Men","2002","75-79","0.674720463327765","0.636912089075733","0.712342163696579","0.811638106848329","0.763991775941496","0.852871739004314","0.791428859055306","0.750316363378351","0.829848804983718","0.43300114059757","0.370315299220153","0.495126709040846","0.0556029129394772","0.0422446612257804","0.0712089416518645"
"United States of America","USA","Men","2003","75-79","0.674931503332239","0.636072882229331","0.712303252074531","0.819947754298154","0.774665670624647","0.859842775168466","0.802444810706192","0.762496976612239","0.839846429416771","0.456092867063507","0.392488631623017","0.517472189162056","0.0512320774459534","0.0388537052331237","0.0662151486564123"
"United States of America","USA","Men","2004","75-79","0.675202118155996","0.6358615300358","0.712891865409913","0.82802749788473","0.78525677181722","0.867029016281908","0.812787125863539","0.773829279314034","0.849457570425007","0.478734368816381","0.414348779718589","0.539652254997148","0.0472844183355139","0.035517610165423","0.0616145499141852"
"United States of America","USA","Men","2005","75-79","0.675463827532396","0.635392515641907","0.714665886291474","0.835662156502283","0.794223639089498","0.872885009681984","0.822129970558225","0.783907259252949","0.858561634136985","0.500100474424817","0.436104467117347","0.561567853461216","0.0437949763624599","0.0325988908075665","0.0574611105564552"
"United States of America","USA","Men","2006","75-79","0.675663682830727","0.636016196798094","0.715050425952094","0.84284293364522","0.80292120651763","0.879167317599101","0.830248604955054","0.792079619075921","0.866135923972261","0.519269952795974","0.453486195342047","0.581391204673081","0.0407659288400048","0.0300315886386932","0.0539254044329853"
"United States of America","USA","Men","2007","75-79","0.67558520803162","0.635064881583943","0.715170323418324","0.849544043764338","0.810046959237089","0.885185139128392","0.837178890760571","0.799842551468484","0.872325219315673","0.536241510813664","0.468761552324824","0.600865321353917","0.038151672771007","0.027788156101475","0.0510262305595532"
"United States of America","USA","Men","2008","75-79","0.675295526652185","0.633622910088105","0.715655022664264","0.85578818325716","0.8169914050008","0.891144437260814","0.843022372887641","0.805553167256638","0.877545102147844","0.550997909276402","0.483966323362666","0.61687827733129","0.0359076432749231","0.0257881088421778","0.0484352469297691"
"United States of America","USA","Men","2009","75-79","0.674720783346914","0.631546676865872","0.715100770624688","0.861635557481811","0.823208313176073","0.896623980413766","0.847926501075828","0.810268238424193","0.882352902783428","0.563564963342317","0.497082726657165","0.630048082180263","0.0339621012732879","0.0239611654553982","0.0461923480361943"
"United States of America","USA","Men","2010","75-79","0.673834435299289","0.630591532816607","0.715664242853311","0.866971713779209","0.827510390785933","0.901052358912482","0.85190544284233","0.814772151968082","0.88673892225776","0.57394558711631","0.506056043537708","0.641665852328431","0.0322931592318272","0.0224321352913236","0.0445449000830117"
"United States of America","USA","Men","2011","75-79","0.67281521118835","0.627789423417629","0.715626849599499","0.87162797952053","0.832085787928631","0.905730956292758","0.854947985491944","0.816314588958497","0.890169547446475","0.582190285313653","0.512526521799755","0.651959038620226","0.0308816887891851","0.0210542527778782","0.043175360739791"
"United States of America","USA","Men","2012","75-79","0.67171576367042","0.624530882135269","0.715849733828778","0.875618234149103","0.835748182777887","0.910308674542733","0.857100266488763","0.816553793715986","0.893333679912461","0.588233362788824","0.515201546938251","0.659794571005476","0.0296569350617395","0.0197651206269126","0.042128709461949"
"United States of America","USA","Men","2013","75-79","0.670611622460192","0.621006906605716","0.7162483381093","0.879061254084135","0.83738607157255","0.914404760146676","0.858491759935962","0.815631175023228","0.895931764550606","0.591909370383167","0.513534840654755","0.666927004855629","0.0285780437804934","0.0186219439517064","0.0411596910226758"
"United States of America","USA","Men","2014","75-79","0.669598631461585","0.615887461164217","0.717923305248476","0.881982668069125","0.838693722444607","0.918572259564951","0.859127496380778","0.813014909277933","0.898626400861799","0.593359903955347","0.510057717138845","0.673350299154465","0.0276313464219481","0.017434309380924","0.0409596655093811"
